site_index,method,vs_mae_km_s,vs_mae_0_40km_km_s,vs_mae_40_120km_km_s,phase_forward_rms_km_s,group_forward_rms_km_s,input_protocol
2076,DispFormer phase+group,0.10499627888202667,0.11217948794364929,0.1013597846031189,0.028318561613559723,0.03811578080058098,phase + group
2140,DispFormer phase+group,0.11130465567111969,0.12667854130268097,0.10352163016796112,0.032169587910175323,0.050193630158901215,phase + group
2328,DispFormer phase+group,0.06230751425027847,0.10216142237186432,0.04213147610425949,0.02818341739475727,0.041724927723407745,phase + group
2487,DispFormer phase+group,0.13880155980587006,0.14220549166202545,0.13707831501960754,0.02795138768851757,0.05311872065067291,phase + group
2533,DispFormer phase+group,0.10094879567623138,0.14019055664539337,0.08108264207839966,0.029444415122270584,0.06707508116960526,phase + group
2613,DispFormer phase+group,0.0754779800772667,0.08980873972177505,0.0682230219244957,0.0421585850417614,0.05503179505467415,phase + group
2634,DispFormer phase+group,0.1483815312385559,0.14717957377433777,0.14899000525474548,0.04189705848693848,0.035417791455984116,phase + group
2697,DispFormer phase+group,0.15588228404521942,0.1641751527786255,0.1516840159893036,0.02115764655172825,0.05403996258974075,phase + group
2813,DispFormer phase+group,0.06002851203083992,0.07935193926095963,0.05024602264165878,0.03060290962457657,0.05068495497107506,phase + group
2816,DispFormer phase+group,0.1069929227232933,0.14541232585906982,0.08754308521747589,0.016175664961338043,0.034042488783597946,phase + group
2835,DispFormer phase+group,0.08179216086864471,0.10964544117450714,0.06769143044948578,0.040230244398117065,0.06962453573942184,phase + group
3197,DispFormer phase+group,0.06955796480178833,0.06043277680873871,0.074177585542202,0.02296091616153717,0.06472596526145935,phase + group
3291,DispFormer phase+group,0.0942547544836998,0.11374379694461823,0.08438841998577118,0.02336878515779972,0.05829991027712822,phase + group
3388,DispFormer phase+group,0.09421653300523758,0.161509707570076,0.06014937162399292,0.04818595200777054,0.04873637482523918,phase + group
3546,DispFormer phase+group,0.12407666444778442,0.12987542152404785,0.12114105373620987,0.03387051075696945,0.07070917636156082,phase + group
3559,DispFormer phase+group,0.058358822017908096,0.08787123113870621,0.04341816157102585,0.024159638211131096,0.05339840427041054,phase + group
3785,DispFormer phase+group,0.08903446793556213,0.09900369495153427,0.0839875340461731,0.027020977810025215,0.054411839693784714,phase + group
3805,DispFormer phase+group,0.07551684230566025,0.12478138506412506,0.05057666450738907,0.03083629533648491,0.06888485699892044,phase + group
4046,DispFormer phase+group,0.11007700115442276,0.11488009989261627,0.1076454296708107,0.0405435636639595,0.05924049764871597,phase + group
4124,DispFormer phase+group,0.08770065754652023,0.13045534491539001,0.06605609506368637,0.02989012561738491,0.06517504155635834,phase + group
4215,DispFormer phase+group,0.06551042199134827,0.10391837358474731,0.046066395938396454,0.041753824800252914,0.0961107388138771,phase + group
4427,DispFormer phase+group,0.10071375221014023,0.19004420936107635,0.05549021437764168,0.026635250076651573,0.04574311524629593,phase + group
4472,DispFormer phase+group,0.12226807326078415,0.12248938530683517,0.12215602397918701,0.036403339356184006,0.08087189495563507,phase + group
