subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
19,109.250000,42.212500,5.0,2.95045,2.66642,3.20443,0.30495,39
19,109.250000,42.212500,10.0,3.02604,2.54233,3.49239,0.43801,39
19,109.250000,42.212500,20.0,3.86247,3.55637,4.21396,0.34424,39
19,109.250000,42.212500,40.0,3.21651,3.04370,3.40515,0.20949,39
19,109.250000,42.212500,60.0,3.27359,3.22149,3.32354,0.05635,39
19,109.250000,42.212500,80.0,3.52714,3.50464,3.55289,0.02261,39
19,109.250000,42.212500,100.0,3.55425,3.53637,3.57249,0.01766,39
20,109.250000,42.337500,2.0,2.86771,2.34746,3.18635,0.42992,39
20,109.250000,42.337500,5.0,2.91579,2.57285,3.23369,0.33008,39
20,109.250000,42.337500,10.0,2.94652,2.58867,3.41638,0.38009,39
20,109.250000,42.337500,20.0,3.83115,3.59837,4.11186,0.29279,39
20,109.250000,42.337500,40.0,3.17158,3.05087,3.39490,0.18200,39
20,109.250000,42.337500,60.0,3.25680,3.21580,3.30290,0.05074,39
20,109.250000,42.337500,80.0,3.52568,3.50726,3.54465,0.01870,39
20,109.250000,42.337500,100.0,3.55042,3.52980,3.57351,0.02136,39
21,109.416667,41.212500,2.0,2.85987,2.22786,3.38967,0.51127,39
21,109.416667,41.212500,5.0,3.15964,2.84235,3.47291,0.33343,39
21,109.416667,41.212500,10.0,3.42369,3.06664,3.77975,0.36623,39
21,109.416667,41.212500,20.0,3.85137,3.64853,4.21198,0.31023,39
21,109.416667,41.212500,40.0,3.10594,2.95784,3.32963,0.22499,39
21,109.416667,41.212500,60.0,3.29452,3.25085,3.35097,0.06289,39
21,109.416667,41.212500,80.0,3.52558,3.50575,3.53964,0.01867,39
21,109.416667,41.212500,100.0,3.55582,3.53770,3.57985,0.02206,39
22,109.416667,41.337500,2.0,2.80631,2.30595,3.22310,0.39870,39
22,109.416667,41.337500,5.0,3.10249,2.76199,3.29469,0.31283,39
22,109.416667,41.337500,10.0,3.43846,3.03546,3.75539,0.33808,39
22,109.416667,41.337500,20.0,3.79434,3.53834,4.15834,0.30746,39
22,109.416667,41.337500,40.0,3.07736,2.93298,3.25453,0.16111,39
22,109.416667,41.337500,60.0,3.27972,3.23316,3.33822,0.06148,39
22,109.416667,41.337500,80.0,3.51876,3.49740,3.53728,0.02110,39
22,109.416667,41.337500,100.0,3.55444,3.53433,3.57881,0.02862,39
23,109.416667,41.462500,2.0,2.84460,2.34287,3.41322,0.48342,39
23,109.416667,41.462500,5.0,3.00707,2.65970,3.36806,0.36684,39
23,109.416667,41.462500,10.0,3.16929,2.79071,3.61280,0.40043,39
23,109.416667,41.462500,20.0,3.79565,3.47061,4.19066,0.32120,39
23,109.416667,41.462500,40.0,2.99524,2.87431,3.15256,0.13150,39
23,109.416667,41.462500,60.0,3.25398,3.22067,3.30936,0.04027,39
23,109.416667,41.462500,80.0,3.51254,3.49743,3.53156,0.01924,39
23,109.416667,41.462500,100.0,3.55224,3.53782,3.57888,0.02517,39
24,109.416667,41.587500,2.0,2.97351,2.38231,3.40629,0.46676,39
24,109.416667,41.587500,5.0,2.87029,2.54162,3.17526,0.34823,39
24,109.416667,41.587500,10.0,2.96485,2.56040,3.44754,0.42993,39
24,109.416667,41.587500,20.0,3.82563,3.53638,4.10070,0.29785,39
24,109.416667,41.587500,40.0,3.01130,2.94217,3.25205,0.16100,39
24,109.416667,41.587500,60.0,3.28453,3.21953,3.31697,0.04570,39
24,109.416667,41.587500,80.0,3.51959,3.50320,3.54212,0.02105,39
24,109.416667,41.587500,100.0,3.55735,3.53560,3.57319,0.01947,39
25,109.416667,41.712500,2.0,2.87276,2.36064,3.35511,0.47442,39
25,109.416667,41.712500,5.0,2.92279,2.65478,3.18961,0.30030,39
25,109.416667,41.712500,10.0,2.86131,2.55938,3.42235,0.39923,39
25,109.416667,41.712500,20.0,3.89359,3.65199,4.07605,0.25637,39
25,109.416667,41.712500,40.0,3.00262,2.90393,3.12889,0.15509,39
25,109.416667,41.712500,60.0,3.25629,3.22157,3.29830,0.04479,39
25,109.416667,41.712500,80.0,3.51194,3.49212,3.53759,0.02192,39
25,109.416667,41.712500,100.0,3.55726,3.53547,3.58459,0.02414,39
26,109.416667,41.837500,2.0,2.66074,2.34261,2.96020,0.35471,39
