disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
0.008643597318609024,QEDisp m0 multistart,nan,6956,ok,0.03953865552602196
nan,DI-Strong,0.7344398340248963,6956,ok,0.08195073157548904
nan,DI-Weak,0.975103734439834,6956,ok,0.08215723186731339
0.01321388294736073,QEDisp m0 multistart,nan,7220,ok,0.07108462218343117
nan,DI-Strong,0.7427385892116183,7220,ok,0.08172145485877991
nan,DI-Weak,0.950207468879668,7220,ok,0.11377588659524918
0.012545024596525838,QEDisp m0 multistart,nan,7308,ok,0.1326909845227193
nan,DI-Strong,0.6348547717842323,7308,ok,0.09297668188810349
nan,DI-Weak,0.970954356846473,7308,ok,0.10600416362285614
0.0028896658828176064,QEDisp m0 multistart,nan,7350,ok,0.1191459628219028
nan,DI-Strong,0.4605809128630705,7350,ok,0.14740785956382751
nan,DI-Weak,0.941908713692946,7350,ok,0.12970247864723206
0.0037188376682378197,QEDisp m0 multistart,nan,7422,ok,0.07680083057915306
nan,DI-Strong,0.7012448132780082,7422,ok,0.09544552862644196
nan,DI-Weak,0.8381742738589212,7422,ok,0.10810983926057816
0.012643791093637962,QEDisp m0 multistart,nan,7447,ok,0.08295523486393579
nan,DI-Strong,0.6265560165975104,7447,ok,0.10874991863965988
nan,DI-Weak,0.979253112033195,7447,ok,0.060300469398498535
0.011294872019112103,QEDisp m0 multistart,nan,7454,ok,0.12296444483092268
nan,DI-Strong,0.5435684647302904,7454,ok,0.1271272897720337
nan,DI-Weak,0.6970954356846473,7454,ok,0.16830573976039886
0.004887839468172627,QEDisp m0 multistart,nan,7640,ok,0.05802356608696585
nan,DI-Strong,0.7178423236514523,7640,ok,0.0984727293252945
nan,DI-Weak,1.0,7640,ok,0.06884648650884628
0.022793898611650498,QEDisp m0 multistart,nan,7681,ok,0.09009230778000993
nan,DI-Strong,0.6348547717842323,7681,ok,0.08513875305652618
nan,DI-Weak,0.8174273858921162,7681,ok,0.15778976678848267
0.010845246610248814,QEDisp m0 multistart,nan,7794,ok,0.1579792628059473
nan,DI-Strong,0.6307053941908713,7794,ok,0.10836505144834518
